Wall time,Step,Value
1733564536,42,8.176490307
1733564536,45,7.006180286
1733564536,71,10.00618029
1733564537,94,13.10902381
1733564541,158,10.41984177
1733564542,167,9.995412827
1733564546,229,9.752550125
1733564546,234,8.71065712
1733564548,255,6.708295822
1733564549,273,8.395498276
1733564551,308,5.110402107
1733564552,310,5.595509052
1733564552,318,7.56319809
1733564560,421,10.51684094
1733564564,460,7.994919777
1733564565,474,5.818864822
1733564573,536,10.94387436
1733564579,579,5.074241161
1733564580,586,5.63999033
1733564588,634,13.10902381
1733564590,647,9.029140472
1733564594,671,14.2855897
1733564600,714,14.01193667
1733564602,722,13.85830355
1733564609,771,10.31384993
1733564612,785,6.213757515
1733564615,802,5.656119347
1733564616,808,13.17649031
1733564620,836,13.91834164
1733564636,945,4.754292488
1733564640,971,6.006180286
1733564647,1014,6.800649166
1733564655,1066,9.715715408
1733564661,1104,5.438736439
1733564672,1180,7.796979427
1733564685,1261,5.504068851
1733564693,1316,6.38822937
1733564694,1319,5.964967728
1733564696,1333,6.268914223
1733564696,1337,7.392436504
1733564705,1385,6.750820637
1733564706,1392,7.308356285
1733564712,1436,8.870412827
1733564717,1466,6.849807262
1733564725,1523,7.079985619
1733564729,1552,7.197965145
1733564732,1568,7.235803127
1733564735,1584,8.034479141
1733564743,1640,5.212926865
1733564751,1691,8.191272736
1733564753,1709,12.42960358
1733564754,1718,7.584610462
1733564757,1734,6.590433598
1733564757,1737,8.830107689
1733564765,1781,8.041204453
1733564774,1844,7.049260616
1733564778,1866,9.012403488
1733564778,1869,10.6489563
1733564780,1877,7.469813347
1733564785,1917,10.27426529
1733564788,1934,9.504144669
1733564790,1947,10.68334484
1733564803,2036,7.132907867
1733564811,2096,10.04131031
1733564824,2187,7.855054855
1733564826,2199,9.244895935
1733564832,2231,9.664030075
1733564833,2237,9.889679909
1733564835,2257,9.30795002
1733564836,2262,9.79724884
1733564843,2307,9.821289063
1733564845,2319,9.751655579
1733564850,2354,14.03197956
1733564855,2389,7.304895401
1733564855,2390,7.366552353
1733564862,2436,11.05285072
1733564864,2453,9.499381065
1733564864,2455,9.252518654
1733564865,2460,9.202144623
1733564869,2485,9.33644104
1733564869,2486,10.3533268
1733564871,2498,9.538665771
1733564872,2503,12.11315727
1733564876,2532,8.981708527
1733564878,2547,7.460586548
1733564879,2553,10.29008961
1733564898,2685,8.826920509
1733564907,2740,11.85709953
1733564913,2789,8.063788414
1733564928,2896,7.139275551
1733564937,2967,9.537160873
1733564947,3038,11.48087311
1733564947,3041,11.10913277
1733564955,3099,9.496198654
1733564964,3161,5.978484631
1733564973,3230,10.88977242
1733564975,3244,7.993451595
1733564975,3246,8.357616425
1733564975,3247,9.245040894
1733564982,3305,11.67440605
1733565008,3480,9.663503647
1733565025,3600,7.463973999
1733565027,3618,9.162926674
1733565028,3620,9.786031723
1733565035,3670,8.008548737
1733565044,3741,12.95421219
1733565051,3793,10.41545105
1733565054,3814,20.65192986
1733565055,3821,10.77656364
1733565070,3928,7.283719063
1733565074,3956,5.718709946
1733565078,3984,9.030599594
1733565085,4036,12.18656158
1733565093,4098,8.884626389
1733565107,4196,8.359467506
1733565111,4227,5.750743866
1733565112,4232,12.25483608
1733565123,4317,11.70397568
1733565124,4319,6.957591057
1733565135,4400,11.77020073
1733565148,4492,8.376315117
1733565150,4509,8.845916748
1733565154,4530,10.90685177
1733565168,4628,9.745737076
1733565172,4664,8.47636795
1733565173,4668,9.654665947
1733565174,4676,8.464234352
1733565188,4788,5.833091259
1733565191,4802,8.661838531
1733565197,4840,6.138110638
1733565199,4852,11.69879723
1733565204,4894,11.32348824
1733565213,4962,8.586895943
1733565215,4971,5.828052521
1733565215,4974,7.909896851
1733565227,5050,8.473340988
1733565227,5052,8.261636734
1733565234,5106,8.298587799
1733565237,5134,13.70702457
1733565252,5239,8.529565811
1733565265,5329,8.81218338
1733565267,5345,9.043469429
1733565270,5359,5.159625053
1733565278,5420,8.639184952
1733565292,5517,8.795471191
1733565297,5549,7.046656609
1733565314,5664,9.250749588
1733565316,5679,7.209873199
1733565322,5723,7.142821312
1733565334,5808,6.984657764
1733565337,5825,7.300400734
1733565337,5828,10.13164902
1733565342,5864,8.064535141
1733565344,5871,8.358184814
1733565349,5907,10.71541214
1733565352,5928,8.762449265
1733565361,5990,7.436570168
1733565363,6010,6.743041992
1733565378,6121,6.315085411
1733565380,6131,8.510188103
1733565390,6200,7.575739861
1733565392,6213,9.275268555
1733565393,6219,7.952656746
1733565395,6232,7.97942543
1733565404,6289,6.832822323
1733565407,6312,7.848636627
1733565408,6317,8.788976669
1733565417,6376,9.798322678
1733565438,6520,10.45052147
1733565445,6574,9.360595703
1733565450,6603,5.193246841
1733565458,6657,13.03411484
1733565463,6696,5.700119972
1733565463,6699,6.431325912
1733565465,6711,4.872849464
1733565470,6742,8.352541924
1733565484,6846,5.411509514
1733565484,6854,9.730930328
